Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok02,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,8330435694,2831.5,13496,0.790197095435685,678428015,8330435694,816973507,22583,10440704,2,97.3
asok02,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,25705994498,2831.5,29267,0.903252810332456,678428015,25705994498,1105589595,32318,10670080,2,99.1
asok02,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,14754556884,2831.5,18954,0.850612008019415,678428015,14754556884,938541456,26143,10842112,2,98.3
asok02,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19100037384,2831.5,18098,0.843546248204221,678428015,19100037384,990449739,28349,10452992,2,101
asok02,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19132169434,2831.5,18221,0.844602381867076,678428015,19132169434,993320110,28623,10768384,2,101
asok02,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19075314980,2831.5,18119,0.843727578784701,678428015,19075314980,997524635,28240,10584064,2,100.8
asok02,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,8330435694,4442.25418629367,13496,0.670846607417482,678428015,8330435694,816973507,22583,10440704,2,97.3
asok02,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,25705994498,4442.25418629367,29267,0.848216278187253,678428015,25705994498,1105589595,32318,10670080,2,99.1
asok02,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,14754556884,4442.25418629367,18954,0.765629725319528,678428015,14754556884,938541456,26143,10842112,2,98.3
asok02,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19100037384,4442.25418629367,18098,0.754544469759439,678428015,19100037384,990449739,28349,10452992,2,101
asok02,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19132169434,4442.25418629367,18221,0.756201405724512,678428015,19132169434,993320110,28623,10768384,2,101
asok02,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19075314980,4442.25418629367,18119,0.75482895378919,678428015,19075314980,997524635,28240,10584064,2,100.8
asok02,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,8330435694,2831.5,13496,0.790197095435685,678428015,8330435694,816973507,22583,10440704,2,97.3
asok02,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,25705994498,2831.5,29267,0.903252810332456,678428015,25705994498,1105589595,32318,10670080,2,99.1
asok02,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,14754556884,2831.5,18954,0.850612008019415,678428015,14754556884,938541456,26143,10842112,2,98.3
asok02,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19100037384,2831.5,18098,0.843546248204221,678428015,19100037384,990449739,28349,10452992,2,101
asok02,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19132169434,2831.5,18221,0.844602381867076,678428015,19132169434,993320110,28623,10768384,2,101
asok02,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19075314980,2831.5,18119,0.843727578784701,678428015,19075314980,997524635,28240,10584064,2,100.8
