Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
c2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,8330435694,2831.5,6181,0.541902604756512,678428015,8330435694,816968264,22551,10481664,2,103
c2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,25705994498,2831.5,13109,0.784003356472652,678428015,25705994498,1105446375,32351,10776576,2,101.4
c2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19100037384,2831.5,9492,0.70169616519174,678428015,19100037384,990614282,28314,10776576,2,98.6
c2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19075314980,2831.5,9288,0.695144272179156,678428015,19075314980,997465559,28289,10940416,2,99.4
c2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,14754556884,2831.5,9051,0.687161639597835,678428015,14754556884,938354974,26121,10866688,2,100.6
c2,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19132169434,2831.5,9142,0.690275650842267,678428015,19132169434,993220572,28674,10616832,2,100.4
c2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,8330435694,4534.50283704813,6181,0.266380385528535,678428015,8330435694,816968264,22551,10481664,2,103
c2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,25705994498,4534.50283704813,13109,0.654092391711944,678428015,25705994498,1105446375,32351,10776576,2,101.4
c2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19100037384,4534.50283704813,9492,0.522281622729864,678428015,19100037384,990614282,28314,10776576,2,98.6
c2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19075314980,4534.50283704813,9288,0.511789100231683,678428015,19075314980,997465559,28289,10940416,2,99.4
c2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,14754556884,4534.50283704813,9051,0.499005321285148,678428015,14754556884,938354974,26121,10866688,2,100.6
c2,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19132169434,4534.50283704813,9142,0.503992251471436,678428015,19132169434,993220572,28674,10616832,2,100.4
c2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,8330435694,2831.5,6181,0.541902604756512,678428015,8330435694,816968264,22551,10481664,2,103
c2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,25705994498,2831.5,13109,0.784003356472652,678428015,25705994498,1105446375,32351,10776576,2,101.4
c2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19100037384,2831.5,9492,0.70169616519174,678428015,19100037384,990614282,28314,10776576,2,98.6
c2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19075314980,2831.5,9288,0.695144272179156,678428015,19075314980,997465559,28289,10940416,2,99.4
c2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,14754556884,2831.5,9051,0.687161639597835,678428015,14754556884,938354974,26121,10866688,2,100.6
c2,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19132169434,2831.5,9142,0.690275650842267,678428015,19132169434,993220572,28674,10616832,2,100.4
c2,EAGER-0,eager,bcftools_stats,Naive,Realtime,8330435694,3322.5,6181,0.462465620449765,678428015,8330435694,816968264,22551,10481664,2,103
c2,EAGER-0,eager,bcftools_stats,Naive,Realtime,25705994498,3322.5,13109,0.746548173010909,678428015,25705994498,1105446375,32351,10776576,2,101.4
c2,EAGER-0,eager,bcftools_stats,Naive,Realtime,19100037384,3322.5,9492,0.649968394437421,678428015,19100037384,990614282,28314,10776576,2,98.6
c2,EAGER-0,eager,bcftools_stats,Naive,Realtime,19075314980,3322.5,9288,0.642280361757106,678428015,19075314980,997465559,28289,10940416,2,99.4
c2,EAGER-0,eager,bcftools_stats,Naive,Realtime,14754556884,3322.5,9051,0.632913490222075,678428015,14754556884,938354974,26121,10866688,2,100.6
c2,EAGER-0,eager,bcftools_stats,Naive,Realtime,19132169434,3322.5,9142,0.636567490702253,678428015,19132169434,993220572,28674,10616832,2,100.4
c2,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,8330435694,2831.5,6181,0.541902604756512,678428015,8330435694,816968264,22551,10481664,2,103
c2,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,25705994498,2831.5,13109,0.784003356472652,678428015,25705994498,1105446375,32351,10776576,2,101.4
c2,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19100037384,2831.5,9492,0.70169616519174,678428015,19100037384,990614282,28314,10776576,2,98.6
c2,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19075314980,2831.5,9288,0.695144272179156,678428015,19075314980,997465559,28289,10940416,2,99.4
c2,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,14754556884,2831.5,9051,0.687161639597835,678428015,14754556884,938354974,26121,10866688,2,100.6
