Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
local,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,8330435694,2831.5,7872,0.640307418699187,678428015,8330435694,816910669,22541,10178560,2,101.9
local,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,25705994498,2831.5,16950,0.832949852507375,678428015,25705994498,1105383890,32425,10694656,2,100.9
local,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,8330435694,3804.17603987261,7872,0.516745929894232,678428015,8330435694,816910669,22541,10178560,2,101.9
local,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,25705994498,3804.17603987261,16950,0.775564835405746,678428015,25705994498,1105383890,32425,10694656,2,100.9
local,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,8330435694,2831.5,7872,0.640307418699187,678428015,8330435694,816910669,22541,10178560,2,101.9
local,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,25705994498,2831.5,16950,0.832949852507375,678428015,25705994498,1105383890,32425,10694656,2,100.9
local,EAGER-0,eager,bcftools_stats,Naive,Realtime,8330435694,3322.5,7872,0.577934451219512,678428015,8330435694,816910669,22541,10178560,2,101.9
local,EAGER-0,eager,bcftools_stats,Naive,Realtime,25705994498,3322.5,16950,0.803982300884956,678428015,25705994498,1105383890,32425,10694656,2,100.9
local,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,8330435694,2831.5,7872,0.640307418699187,678428015,8330435694,816910669,22541,10178560,2,101.9
local,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,25705994498,2831.5,16950,0.832949852507375,678428015,25705994498,1105383890,32425,10694656,2,100.9
local,EAGER-0,eager,bcftools_stats,Perfect,Realtime,8330435694,7872,7872,0,678428015,8330435694,816910669,22541,10178560,2,101.9
local,EAGER-0,eager,bcftools_stats,Perfect,Realtime,25705994498,16950,16950,0,678428015,25705994498,1105383890,32425,10694656,2,100.9
local,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,2870443,1,796089024,8330435694,2263049925,766409963,5409779712,8,106.6
local,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,5594417,1,983516412,25705994498,3634489739,2066648232,5397921792,8,111.4
local,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973236.44871418,2870443,0.312567276648872,796089024,8330435694,2263049925,766409963,5409779712,8,106.6
local,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437805.79000546,5594417,0.564243103435897,983516412,25705994498,3634489739,2066648232,5397921792,8,111.4
local,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,8330435694,1973236.44871418,2870443,0.312567276648872,796089024,8330435694,2263049925,766409963,5409779712,8,106.6
local,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,25705994498,2437805.79000546,5594417,0.564243103435897,983516412,25705994498,3634489739,2066648232,5397921792,8,111.4
local,EAGER-0,eager,genotyping_hc,Naive,Realtime,8330435694,847241.392866364,2870443,0.70483949938516,796089024,8330435694,2263049925,766409963,5409779712,8,106.6
local,EAGER-0,eager,genotyping_hc,Naive,Realtime,25705994498,1046711.84966596,5594417,0.812900638321033,983516412,25705994498,3634489739,2066648232,5397921792,8,111.4
local,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,8330435694,0,2870443,1,796089024,8330435694,2263049925,766409963,5409779712,8,106.6
local,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,25705994498,0,5594417,1,983516412,25705994498,3634489739,2066648232,5397921792,8,111.4
local,EAGER-0,eager,genotyping_hc,Perfect,Realtime,8330435694,2870443,2870443,0,796089024,8330435694,2263049925,766409963,5409779712,8,106.6
local,EAGER-0,eager,genotyping_hc,Perfect,Realtime,25705994498,5594417,5594417,0,983516412,25705994498,3634489739,2066648232,5397921792,8,111.4
local,EAGER-0,eager,qualimap,Lotaru-G,Realtime,8330435694,0,28895,1,796041986,8330435694,152409848,858427,1038356480,2,193.1
local,EAGER-0,eager,qualimap,Lotaru-G,Realtime,25705994498,0,48137,1,983469374,25705994498,339960719,893111,1623695360,2,195.5
local,EAGER-0,eager,qualimap,OnlineP,Realtime,8330435694,21259.0514723233,28895,0.264265392894158,796041986,8330435694,152409848,858427,1038356480,2,193.1
local,EAGER-0,eager,qualimap,OnlineP,Realtime,25705994498,26264.4765113176,48137,0.454380694448811,983469374,25705994498,339960719,893111,1623695360,2,195.5
local,EAGER-0,eager,qualimap,OnlineM,Realtime,8330435694,21259.0514723233,28895,0.264265392894158,796041986,8330435694,152409848,858427,1038356480,2,193.1
local,EAGER-0,eager,qualimap,OnlineM,Realtime,25705994498,26264.4765113176,48137,0.454380694448811,983469374,25705994498,339960719,893111,1623695360,2,195.5
local,EAGER-0,eager,qualimap,Naive,Realtime,8330435694,14644.4913198665,28895,0.493182511857881,796041986,8330435694,152409848,858427,1038356480,2,193.1
local,EAGER-0,eager,qualimap,Naive,Realtime,25705994498,18092.5239675707,48137,0.624145169670509,983469374,25705994498,339960719,893111,1623695360,2,195.5
local,EAGER-0,eager,qualimap,Lotaru-A,Realtime,8330435694,0,28895,1,796041986,8330435694,152409848,858427,1038356480,2,193.1
local,EAGER-0,eager,qualimap,Lotaru-A,Realtime,25705994498,0,48137,1,983469374,25705994498,339960719,893111,1623695360,2,195.5
local,EAGER-0,eager,qualimap,Perfect,Realtime,8330435694,28895,28895,0,796041986,8330435694,152409848,858427,1038356480,2,193.1
local,EAGER-0,eager,qualimap,Perfect,Realtime,25705994498,48137,48137,0,983469374,25705994498,339960719,893111,1623695360,2,195.5
local,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,8330435694,0,432899,1,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,25705994498,0,1321250,1,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,adapter_removal,OnlineP,Realtime,8330435694,442240.376430994,432899,0.0215786509809315,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
local,EAGER-0,eager,adapter_removal,OnlineP,Realtime,25705994498,1364661.94172358,1321250,0.0328567203205905,25705994643,25705994498,13119947733,10005510817,137506816,8,177.7
local,EAGER-0,eager,adapter_removal,OnlineM,Realtime,8330435694,442240.376430994,432899,0.0215786509809315,8330435839,8330435694,4401867251,3300336616,137863168,8,177.8
