Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
n1,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,8330435694,2831.5,8866,0.680633882246785,678428015,8330435694,816977319,22461,10416128,2,101.8
n1,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,25705994498,2831.5,20287,0.860427860206043,678428015,25705994498,1105334428,32359,10665984,2,100.6
n1,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19075314980,2831.5,15299,0.814922543957121,678428015,19075314980,997469448,28362,10301440,2,97.5
n1,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19132169434,2831.5,15017,0.81144702670307,678428015,19132169434,993286811,28574,10231808,2,97.8
n1,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,14754556884,2831.5,15017,0.81144702670307,678428015,14754556884,938418027,26148,10407936,2,97.5
n1,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19100037384,2831.5,13312,0.787297175480769,678428015,19100037384,990550737,28319,10428416,2,101.5
n1,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,8330435694,3215.85578955328,8866,0.637282225405676,678428015,8330435694,816977319,22461,10416128,2,101.8
n1,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,25705994498,3215.85578955328,20287,0.841481944617081,678428015,25705994498,1105334428,32359,10665984,2,100.6
n1,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19075314980,3215.85578955328,15299,0.789799608500341,678428015,19075314980,997469448,28362,10301440,2,97.5
n1,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19132169434,3215.85578955328,15017,0.785852314739743,678428015,19132169434,993286811,28574,10231808,2,97.8
n1,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,14754556884,3215.85578955328,15017,0.785852314739743,678428015,14754556884,938418027,26148,10407936,2,97.5
n1,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19100037384,3215.85578955328,13312,0.758424294654952,678428015,19100037384,990550737,28319,10428416,2,101.5
n1,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,8330435694,2831.5,8866,0.680633882246785,678428015,8330435694,816977319,22461,10416128,2,101.8
n1,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,25705994498,2831.5,20287,0.860427860206043,678428015,25705994498,1105334428,32359,10665984,2,100.6
n1,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19075314980,2831.5,15299,0.814922543957121,678428015,19075314980,997469448,28362,10301440,2,97.5
n1,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19132169434,2831.5,15017,0.81144702670307,678428015,19132169434,993286811,28574,10231808,2,97.8
n1,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,14754556884,2831.5,15017,0.81144702670307,678428015,14754556884,938418027,26148,10407936,2,97.5
n1,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19100037384,2831.5,13312,0.787297175480769,678428015,19100037384,990550737,28319,10428416,2,101.5
n1,EAGER-0,eager,bcftools_stats,Naive,Realtime,8330435694,3322.5,8866,0.625253778479585,678428015,8330435694,816977319,22461,10416128,2,101.8
n1,EAGER-0,eager,bcftools_stats,Naive,Realtime,25705994498,3322.5,20287,0.836225168827328,678428015,25705994498,1105334428,32359,10665984,2,100.6
n1,EAGER-0,eager,bcftools_stats,Naive,Realtime,19075314980,3322.5,15299,0.782828943068174,678428015,19075314980,997469448,28362,10301440,2,97.5
n1,EAGER-0,eager,bcftools_stats,Naive,Realtime,19132169434,3322.5,15017,0.778750749150962,678428015,19132169434,993286811,28574,10231808,2,97.8
n1,EAGER-0,eager,bcftools_stats,Naive,Realtime,14754556884,3322.5,15017,0.778750749150962,678428015,14754556884,938418027,26148,10407936,2,97.5
n1,EAGER-0,eager,bcftools_stats,Naive,Realtime,19100037384,3322.5,13312,0.750413161057692,678428015,19100037384,990550737,28319,10428416,2,101.5
n1,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,8330435694,2831.5,8866,0.680633882246785,678428015,8330435694,816977319,22461,10416128,2,101.8
n1,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,25705994498,2831.5,20287,0.860427860206043,678428015,25705994498,1105334428,32359,10665984,2,100.6
n1,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19075314980,2831.5,15299,0.814922543957121,678428015,19075314980,997469448,28362,10301440,2,97.5
n1,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19132169434,2831.5,15017,0.81144702670307,678428015,19132169434,993286811,28574,10231808,2,97.8
n1,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,14754556884,2831.5,15017,0.81144702670307,678428015,14754556884,938418027,26148,10407936,2,97.5
n1,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19100037384,2831.5,13312,0.787297175480769,678428015,19100037384,990550737,28319,10428416,2,101.5
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,8330435694,8866,8866,0,678428015,8330435694,816977319,22461,10416128,2,101.8
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,25705994498,20287,20287,0,678428015,25705994498,1105334428,32359,10665984,2,100.6
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19075314980,15299,15299,0,678428015,19075314980,997469448,28362,10301440,2,97.5
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19132169434,15017,15017,0,678428015,19132169434,993286811,28574,10231808,2,97.8
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,14754556884,15017,15017,0,678428015,14754556884,938418027,26148,10407936,2,97.5
n1,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19100037384,13312,13312,0,678428015,19100037384,990550737,28319,10428416,2,101.5
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,3502399,1,796087819,8330435694,2263034685,766395783,5594255360,8,133.3
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,6943115,1,983527290,25705994498,3634528793,2066754004,5594222592,8,176.1
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19075314980,0,4530912,1,885823795,19075314980,2803968363,1262151895,4776337408,8,169.9
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19132169434,0,4454183,1,886150402,19132169434,2807334646,1265230175,5404827648,8,171.1
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,14754556884,0,5451079,1,868551484,14754556884,2790955528,1265498693,5447598080,8,146.8
n1,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19100037384,0,4566314,1,885812068,19100037384,2804856658,1262735315,5395873792,8,168.9
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973233.46192521,3502399,0.436605177786653,796087819,8330435694,2263034685,766395783,5594255360,8,133.3
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437832.75290212,6943115,0.648884866100861,983527290,25705994498,3634528793,2066754004,5594222592,8,176.1
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19075314980,2195658.70993885,4530912,0.515404688959121,885823795,19075314980,2803968363,1262151895,4776337408,8,169.9
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19132169434,2196468.25864179,4454183,0.506875164616768,886150402,19132169434,2807334646,1265230175,5404827648,8,171.1
n1,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,14754556884,2152846.47086604,5451079,0.605060489700105,868551484,14754556884,2790955528,1265498693,5447598080,8,146.8
